name,rate
3 Roses Roll,"₹ 1,200.00"
Avul Mixture,₹ 360.00
Badam Kernels,₹ 800.00
Badam Laddu,"₹ 1,200.00"
Badusha,₹ 320.00
Bombay Halwa,₹ 500.00
Boondhi Laddu,₹ 300.00
Boost Burfy,₹ 600.00
Cashew Halwa,₹ 800.00
Cashew Kernels,"₹ 1,000.00"
Cashew Mixture,₹ 480.00
Chocolate Kaju Roll,"₹ 1,200.00"
Chocolate Roll,₹ 500.00
Classic Mysorepak,₹ 380.00
Dates Roll,₹ 700.00
Dhal Mixture,₹ 360.00
Dry Raisin,₹ 355.00
Fancy Roll,"₹ 1,000.00"
Fruit Cake,₹ 500.00
Ghee Soanpapdi,₹ 700.00
Grand Fusion Laddu,"₹ 1,400.00"
Gulkhand Kaju Biscuit,"₹ 1,200.00"
Jangiri,₹ 320.00
Kaju Flower,"₹ 1,200.00"
Kaju Katli,"₹ 1,000.00"
Kaju Roll,"₹ 1,200.00"
Mango Bites,"₹ 1,200.00"
Mango Kaju Kathili,"₹ 1,200.00"
Mango Kaju Roll,"₹ 1,200.00"
Mawa Bites,"₹ 1,200.00"
Milk Burfy,₹ 500.00
Milkcake,₹ 400.00
Mothi Laddu,₹ 400.00
Mundhiri Cake,₹ 900.00
Nuts Burfy,"₹ 1,200.00"
Nuts Mixture,₹ 900.00
Orange Bites,"₹ 1,200.00"
Orange Kaju Roll,"₹ 1,200.00"
Pista Burfy,₹ 500.00
Pomo Halwa,₹ 600.00
Rajasthan Peda,₹ 500.00
Roasted Pistachio,"₹ 2,000.00"
Soanpapdi,₹ 500.00
Spl Mysorepak,₹ 600.00
Strawberry Bites,"₹ 1,200.00"
Strawberry Kaju Kathili,"₹ 1,200.00"
Tirupathi Laddu,₹ 600.00
Pista Laddu,"₹ 1,200.00"
Mango Kaju Kathili,"₹ 1,200.00"
CLASSIC BOX,₹ 460.00
MINI CLASSIC BOX,₹ 100.00
SPECIAL BOX,₹ 600.00
MINI SPECIAL BOX,₹ 150.00
PREMIUM BOX,"₹ 1,200.00"
VIP BOX,"₹ 1,250.00"
VIP FUSION BOX 1,"₹ 1,100.00"
VIP FUSION BOX 2,"₹ 1,100.00"
ROYAL BOX,"₹ 1,400.00"
ELITE BOX,₹ 750.00

